name,2dumap1,2dumap2,3dumap1,3dumap2,3dumap3
GRB131108862,9.130757,7.4843717,8.796899,7.1946063,6.197179
GRB131110373,9.582455,2.1419032,9.448819,2.8022099,3.2292373
GRB131113483,8.340672,3.026153,8.934949,3.4577503,3.1098266
GRB131117766,9.104131,2.84577,9.520141,3.4011748,3.186263
GRB131118958,8.437267,3.0465236,8.770785,3.3877656,3.5510657
GRB131119781,8.59026,6.1495404,9.105295,6.2713385,4.2716084
GRB131122490,8.35842,2.466066,8.892505,2.9212885,2.9693635
GRB131123543,8.042973,6.990432,8.232789,7.022043,4.395472
GRB131125689,5.7122483,6.854932,5.8885098,6.9494376,2.597353
GRB131126163,2.7910771,4.013021,3.00281,4.2195954,4.5168195
GRB131127480,9.639031,2.66366,9.827818,3.2342622,3.469534
GRB131127592,10.141848,4.0100107,9.007552,3.636611,5.471981
GRB131127696,9.291268,6.4431224,9.125892,6.2400603,5.3575277
GRB131128629,7.688342,7.4416137,7.9321384,7.4061084,4.0385923
GRB131202633,9.693006,4.4452276,9.845567,4.360009,4.4672565
GRB131202906,9.365449,2.4663439,9.587787,2.9977405,3.2915914
GRB131204937,9.858895,2.6526113,10.012688,3.318718,3.5080297
GRB131209547,9.26882,1.9071549,9.209053,2.4039457,3.8997877
GRB131209963,7.4284487,7.0770874,7.7315803,7.148339,3.841593
GRB131211510,9.4632635,4.854203,9.64576,4.87834,4.5216455
GRB131212814,8.778156,5.9958105,9.08823,6.166525,4.5695696
GRB131214705,8.245149,4.610498,8.514544,5.098579,5.1196256
GRB131215298,10.010377,2.3764975,9.895161,2.8603997,3.7852943
GRB131216081,8.511279,7.658427,8.605553,7.44745,5.668799
GRB131217108,6.6223235,7.7219024,6.8977537,7.685579,2.9685585
GRB131217183,10.039235,5.472903,9.501544,5.221496,5.364422
GRB131217506,7.4010024,6.6914306,7.8096957,6.849221,3.9305134
GRB131229277,8.321584,2.1681707,8.521046,2.4511697,3.6619627
GRB131230529,7.7291365,6.258954,8.11891,6.4061255,4.041441
GRB131230808,10.462125,3.2450354,9.984094,3.5279055,4.52988
